Timeguessr Day,Timeguessr Round,Sarah Total Score,Sarah Round Score,Sarah Geography,Sarah Geography Distance,Sarah Time,Sarah Time Distance,Sarah Time Guessed,Sarah Time Score,Sarah Geography Score,Sarah Geography Score (Min),Sarah Geography Score (Max)
783,3,33182,,OO%,,%XX,,,,,4750.0,4999.0
783,4,33182,,OO%,,O%X,,,,,4750.0,4999.0
783,5,33182,,OO%,,OXX,,,,,4750.0,4999.0
784,1,36463,,OO%,,OO%,,,,,4750.0,4999.0
784,2,36463,,OO%,,O%X,,,,,4750.0,4999.0
784,3,36463,,OXX,,OXX,,,,,3500.0,4249.0
784,4,36463,,OXX,,OOX,,,,,3500.0,4249.0
784,5,36463,,OXX,,XXX,,,,,3500.0,4249.0
790,1,36297,,OO%,,OXX,,,,,4750.0,4999.0
790,2,36297,,OO%,,%XX,,,,,4750.0,4999.0
790,3,36297,,OO%,,OXX,,,,,4750.0,4999.0
790,4,36297,,OXX,,OXX,,,,,3500.0,4249.0
790,5,36297,,OO%,,OOX,,,,,4750.0,4999.0
795,1,43787,,OO%,,OOO,,,,,4750.0,4999.0
795,2,43787,,OXX,,OO%,,,,,3500.0,4249.0
795,3,43787,,OO%,,O%X,,,,,4750.0,4999.0
795,4,43787,,OO%,,OXX,,,,,4750.0,4999.0
795,5,43787,,OO%,,OOX,,,,,4750.0,4999.0
798,1,40334,,OOO,,OO%,,,,5000.0,5000.0,5000.0
798,2,40334,,OO%,,OXX,,,,,4750.0,4999.0
798,3,40334,,OXX,,OXX,,,,,3500.0,4249.0
798,4,40334,,OO%,,O%X,,,,,4750.0,4999.0
798,5,40334,,OO%,,O%X,,,,,4750.0,4999.0
799,1,40790,,XXX,,OOX,,,,,12.0,2499.0
799,2,40790,,OXX,,OO%,,,,,3500.0,4249.0
799,3,40790,,XXX,,OOO,,,,,12.0,2499.0
799,4,40790,,OO%,,OOX,,,,,4750.0,4999.0
799,5,40790,,OO%,,OOX,,,,,4750.0,4999.0
802,1,38391,,OO%,,OO%,,,,,4750.0,4999.0
802,2,38391,,OO%,,OXX,,,,,4750.0,4999.0
802,3,38391,,%XX,,O%X,,,,,2500.0,3499.0
802,4,38391,,OO%,,OOO,,,,,4750.0,4999.0
802,5,38391,,OO%,,XXX,,,,,4750.0,4999.0
803,1,37662,,OO%,,OOO,,,,,4750.0,4999.0
803,2,37662,,OXX,,OOO,,,,,3500.0,4249.0
803,3,37662,,XXX,,OO%,,,,,12.0,2499.0
803,4,37662,,OXX,,OO%,,,,,3500.0,4249.0
803,5,37662,,OOX,,XXX,,,,,4500.0,4749.0
804,1,44463,,OOO,,OOX,,,,5000.0,5000.0,5000.0
804,2,44463,,OOO,,OOO,,,,5000.0,5000.0,5000.0
804,3,44463,,OO%,,OOX,,,,,4750.0,4999.0
804,4,44463,,OOO,,OXX,,,,5000.0,5000.0,5000.0
804,5,44463,,O%X,,OOX,,,,,4250.0,4499.0
805,1,33849,,O%X,,XXX,,,,,4250.0,4499.0
805,2,33849,,OXX,,OOX,,,,,3500.0,4249.0
805,3,33849,,OXX,,OO%,,,,,3500.0,4249.0
805,4,33849,,OO%,,OOX,,,,,4750.0,4999.0
805,5,33849,,XXX,,OXX,,,,,12.0,2499.0
806,1,38448,,OO%,,OOX,,,,,4750.0,4999.0
806,2,38448,,OO%,,OXX,,,,,4750.0,4999.0
806,3,38448,,OO%,,OXX,,,,,4750.0,4999.0
806,4,38448,,OO%,,OXX,,,,,4750.0,4999.0
806,5,38448,,OOO,,OXX,,,,5000.0,5000.0,5000.0
809,1,39736,9087.0,nan,413400.0,nan,0.0,,,4086.6,4086.6,4086.6
809,2,39736,4876.0,nan,6000.0,nan,21.0,,,4876.0,4876.0,4876.0
809,3,39736,9989.0,nan,550.0,nan,0.0,,,4989.0,4989.0,4989.0
809,4,39736,9784.0,nan,822.8,nan,2.0,,,4983.544,4983.544,4983.544
809,5,39736,6000.0,nan,7.1,nan,16.0,,,5000.0,5000.0,5000.0
810,1,36696,,OO%,,OXX,,,,,4750.0,4999.0
810,2,36696,,%XX,,OO%,,,,,2500.0,3499.0
810,3,36696,,OO%,,OXX,,,,,4750.0,4999.0
810,4,36696,,OO%,,OXX,,,,,4750.0,4999.0
810,5,36696,,%XX,,OOX,,,,,2500.0,3499.0
811,1,36938,,OO%,,XXX,,,,,4750.0,4999.0
811,2,36938,,OO%,,OXX,,,,,4750.0,4999.0
811,3,36938,,OO%,,OOX,,,,,4750.0,4999.0
811,4,36938,,O%X,,O%X,,,,,4250.0,4499.0
811,5,36938,,OOO,,OXX,,,,5000.0,5000.0,5000.0
817,1,41463,,OO%,,OOX,,,,,4750.0,4999.0
817,2,41463,,OXX,,OO%,,,,,3500.0,4249.0
817,3,41463,,%XX,,OOO,,,,,2500.0,3499.0
817,4,41463,,O%X,,O%X,,,,,4250.0,4499.0
817,5,41463,,OOO,,OXX,,,,5000.0,5000.0,5000.0
818,1,38707,,OO%,,OO%,,,,,4750.0,4999.0
818,2,38707,,OO%,,O%X,,,,,4750.0,4999.0
818,3,38707,,O%X,,OXX,,,,,4250.0,4499.0
818,4,38707,,OO%,,OXX,,,,,4750.0,4999.0
818,5,38707,,XXX,,OOX,,,,,12.0,2499.0
819,1,29002,,XXX,,O%X,,,,,12.0,2499.0
819,2,29002,,OO%,,OO%,,,,,4750.0,4999.0
819,3,29002,,XXX,,OXX,,,,,12.0,2499.0
819,4,29002,,XXX,,OXX,,,,,12.0,2499.0
819,5,29002,,%XX,,OOX,,,,,2500.0,3499.0
820,1,45579,,OO%,,OOO,,,,,4750.0,4999.0
820,2,45579,,OO%,,OO%,,,,,4750.0,4999.0
820,3,45579,,OO%,,O%X,,,,,4750.0,4999.0
820,4,45579,,O%X,,OO%,,,,,4250.0,4499.0
820,5,45579,,OO%,,O%X,,,,,4750.0,4999.0
825,1,42833,,OO%,,OOO,,,,,4750.0,4999.0
825,2,42833,,OO%,,OOX,,,,,4750.0,4999.0
825,3,42833,,OO%,,O%X,,,,,4750.0,4999.0
825,4,42833,,OO%,,OOX,,,,,4750.0,4999.0
825,5,42833,,OXX,,OXX,,,,,3500.0,4249.0
827,1,33235,,OO%,,OXX,,,,,4750.0,4999.0
827,2,33235,,OO%,,OOX,,,,,4750.0,4999.0
827,3,33235,,%XX,,O%X,,,,,2500.0,3499.0
827,4,33235,,XXX,,OXX,,,,,12.0,2499.0
827,5,33235,,OXX,,O%X,,,,,3500.0,4249.0
830,1,25016,,XXX,,%XX,,,,,12.0,2499.0
830,2,25016,,XXX,,O%X,,,,,12.0,2499.0
830,3,25016,,OO%,,%XX,,,,,4750.0,4999.0
830,4,25016,,OO%,,O%X,,,,,4750.0,4999.0
830,5,25016,,OXX,,XXX,,,,,3500.0,4249.0
832,1,39192,,OO%,,OO%,,,,,4750.0,4999.0
832,2,39192,,OO%,,OOO,,,,,4750.0,4999.0
832,3,39192,,OXX,,XXX,,,,,3500.0,4249.0
832,4,39192,,O%X,,%XX,,,,,4250.0,4499.0
832,5,39192,,OO%,,OO%,,,,,4750.0,4999.0
834,1,37892,,OO%,,OXX,,,,,4750.0,4999.0
834,2,37892,,%XX,,OOX,,,,,2500.0,3499.0
834,3,37892,,OO%,,O%X,,,,,4750.0,4999.0
834,4,37892,,OO%,,O%X,,,,,4750.0,4999.0
834,5,37892,,OXX,,OXX,,,,,3500.0,4249.0
837,1,44976,,OO%,,OO%,,,,,4750.0,4999.0
837,2,44976,,O%X,,OXX,,,,,4250.0,4499.0
837,3,44976,,OO%,,OO%,,,,,4750.0,4999.0
837,4,44976,,OXX,,OO%,,,,,3500.0,4249.0
837,5,44976,,OO%,,OO%,,,,,4750.0,4999.0
838,1,37010,,OO%,,OOO,,,,,4750.0,4999.0
838,2,37010,,OO%,,OXX,,,,,4750.0,4999.0
838,3,37010,,XXX,,OOX,,,,,12.0,2499.0
838,4,37010,,OO%,,OXX,,,,,4750.0,4999.0
838,5,37010,,OO%,,OXX,,,,,4750.0,4999.0
839,1,40822,,OO%,,O%X,,,,,4750.0,4999.0
839,2,40822,,O%X,,O%X,,,,,4250.0,4499.0
839,3,40822,,OO%,,OXX,,,,,4750.0,4999.0
839,4,40822,,OO%,,OXX,,,,,4750.0,4999.0
839,5,40822,,OO%,,OOX,,,,,4750.0,4999.0
841,1,40955,,OOO,,OOO,,,,5000.0,5000.0,5000.0
841,2,40955,,OO%,,OXX,,,,,4750.0,4999.0
841,3,40955,,OO%,,OO%,,,,,4750.0,4999.0
841,4,40955,,OO%,,XXX,,,,,4750.0,4999.0
841,5,40955,,OXX,,OOO,,,,,3500.0,4249.0
844,1,47145,,OO%,,OOO,,,,,4750.0,4999.0
844,2,47145,,OO%,,OOX,,,,,4750.0,4999.0
844,3,47145,,OO%,,OOX,,,,,4750.0,4999.0
844,4,47145,,OO%,,O%X,,,,,4750.0,4999.0
844,5,47145,,OO%,,OOX,,,,,4750.0,4999.0
846,1,39400,,O%X,,OOO,,,,,4250.0,4499.0
846,2,39400,,OO%,,OOX,,,,,4750.0,4999.0
846,3,39400,,%XX,,OXX,,,,,2500.0,3499.0
846,4,39400,,OO%,,OXX,,,,,4750.0,4999.0
846,5,39400,,OOO,,O%X,,,,5000.0,5000.0,5000.0
847,1,41148,,OO%,,OO%,,,,,4750.0,4999.0
847,2,41148,,OXX,,OXX,,,,,3500.0,4249.0
847,3,41148,,OO%,,OOO,,,,,4750.0,4999.0
847,4,41148,,XXX,,O%X,,,,,12.0,2499.0
847,5,41148,,OOX,,OO%,,,,,4500.0,4749.0
848,1,36690,,OO%,,XXX,,,,,4750.0,4999.0
848,2,36690,,OO%,,OOO,,,,,4750.0,4999.0
848,3,36690,,OO%,,OXX,,,,,4750.0,4999.0
848,4,36690,,OO%,,%XX,,,,,4750.0,4999.0
848,5,36690,,OXX,,OO%,,,,,3500.0,4249.0
854,1,22298,,XXX,,OXX,,,,,12.0,2499.0
854,2,22298,,OO%,,%XX,,,,,4750.0,4999.0
854,3,22298,,OXX,,OXX,,,,,3500.0,4249.0
854,4,22298,,XXX,,%XX,,,,,12.0,2499.0
854,5,22298,,OOO,,OXX,,,,5000.0,5000.0,5000.0
855,1,38666,,OOO,,OOX,,,,5000.0,5000.0,5000.0
855,2,38666,,OO%,,O%X,,,,,4750.0,4999.0
855,3,38666,,OXX,,OOO,,,,,3500.0,4249.0
855,4,38666,,OXX,,OXX,,,,,3500.0,4249.0
855,5,38666,,XXX,,OOX,,,,,12.0,2499.0
859,1,37360,,OOO,,OOO,,,,5000.0,5000.0,5000.0
859,2,37360,,OO%,,OOX,,,,,4750.0,4999.0
859,3,37360,,OXX,,OXX,,,,,3500.0,4249.0
859,4,37360,,OO%,,XXX,,,,,4750.0,4999.0
859,5,37360,,O%X,,OXX,,,,,4250.0,4499.0
860,1,37859,,OO%,,OXX,,,,,4750.0,4999.0
860,2,37859,,XXX,,OO%,,,,,12.0,2499.0
860,3,37859,,OO%,,OXX,,,,,4750.0,4999.0
860,4,37859,,OO%,,OO%,,,,,4750.0,4999.0
860,5,37859,,OXX,,OOX,,,,,3500.0,4249.0
861,1,37165,,OO%,,OXX,,,,,4750.0,4999.0
861,2,37165,,OXX,,OOX,,,,,3500.0,4249.0
861,3,37165,,OO%,,XXX,,,,,4750.0,4999.0
861,4,37165,,OOO,,OOX,,,,5000.0,5000.0,5000.0
861,5,37165,,%XX,,OOO,,,,,2500.0,3499.0
862,1,39532,,OO%,,OO%,,,,,4750.0,4999.0
862,2,39532,,%XX,,OXX,,,,,2500.0,3499.0
862,3,39532,,OO%,,OXX,,,,,4750.0,4999.0
862,4,39532,,OOO,,OXX,,,,5000.0,5000.0,5000.0
862,5,39532,,OO%,,OOO,,,,,4750.0,4999.0
865,1,33890,,OO%,,OOX,,,,,4750.0,4999.0
865,2,33890,,OXX,,OOO,,,,,3500.0,4249.0
865,3,33890,,OO%,,OXX,,,,,4750.0,4999.0
865,4,33890,,OXX,,OO%,,,,,3500.0,4249.0
865,5,33890,,XXX,,XXX,,,,,12.0,2499.0
866,1,36496,,OO%,,OOX,,,,,4750.0,4999.0
866,2,36496,,OO%,,O%X,,,,,4750.0,4999.0
866,3,36496,,XXX,,OOO,,,,,12.0,2499.0
866,4,36496,,%XX,,OO%,,,,,2500.0,3499.0
866,5,36496,,OOX,,%XX,,,,,4500.0,4749.0
867,1,42994,,OO%,,O%X,,,,,4750.0,4999.0
867,2,42994,,OO%,,OOO,,,,,4750.0,4999.0
867,3,42994,,OO%,,%XX,,,,,4750.0,4999.0
867,4,42994,,OO%,,O%X,,,,,4750.0,4999.0
867,5,42994,,OO%,,OO%,,,,,4750.0,4999.0
