Date,Timeguessr Day,Timeguessr Round,Year,City,Country,Michael Total Score,Michael Round Score,Michael Geography,Michael Geography Distance,Michael Time,Michael Time Distance,Sarah Total Score,Sarah Round Score,Sarah Geography,Sarah Geography Distance,Sarah Time,Sarah Time Distance
2025-05-19,718,1,,,,35857.0,,🟩🟩🟩,,🟩🟩🟨,,39001.0,,⬛️⬛️⬛️,,🟩🟩🟩,
2025-05-19,718,2,,,,35857.0,,⬛️⬛️⬛️,,🟩🟩⬛,,39001.0,,⬛️⬛️⬛️,,🟩🟩🟨,
2025-05-19,718,3,,,,35857.0,,🟩🟩🟩,,🟩🟩⬛,,39001.0,,🟩🟩🟨,,🟩🟩⬛,
2025-05-19,718,4,,,,35857.0,,🟩🟩🟨,,⬛️⬛️⬛️,,39001.0,,🟩🟩🟨,,🟩🟩🟨,
2025-05-19,718,5,,,,35857.0,,🟩🟩🟩,,🟩⬛⬛,,39001.0,,🟩🟩🟩,,🟩🟩⬛,
2025-05-20,719,1,,,,35327.0,,🟩🟩🟨,,🟩🟩🟩,,35725.0,,🟩🟩🟩,,🟩🟩🟨,
2025-05-20,719,2,,,,35327.0,,🟩🟩🟨,,🟩⬛⬛,,35725.0,,🟩🟩🟨,,⬛️⬛️⬛️,
2025-05-20,719,3,,,,35327.0,,🟨⬛️⬛️,,🟩⬛⬛,,35725.0,,⬛️⬛️⬛️,,🟨⬛️⬛️,
2025-05-20,719,4,,,,35327.0,,🟩🟩🟨,,🟩⬛⬛,,35725.0,,🟩🟩🟨,,🟩🟩🟨,
2025-05-20,719,5,,,,35327.0,,🟩⬛️⬛️,,🟩⬛⬛,,35725.0,,🟩⬛️⬛️,,🟩🟩🟨,
2025-05-21,720,1,,,,39160.0,,🟩🟩🟩,,🟩🟩🟩,,35900.0,,⬛️⬛️⬛️,,🟩🟩🟩,
2025-05-21,720,2,,,,39160.0,,🟩🟩🟨,,🟩🟩🟨,,35900.0,,🟩🟩🟨,,🟩🟩🟨,
2025-05-21,720,3,,,,39160.0,,🟩⬛️⬛️,,🟩⬛⬛,,35900.0,,🟨⬛️⬛️,,🟩⬛⬛,
2025-05-21,720,4,,,,39160.0,,🟩🟩🟨,,🟨⬛️⬛️,,35900.0,,🟩🟩🟨,,🟩⬛⬛,
2025-05-21,720,5,,,,39160.0,,🟩🟩🟨,,🟩⬛⬛,,35900.0,,🟩🟩🟨,,🟩🟩🟨,
2025-05-22,721,1,,,,34330.0,,🟩🟩🟩,,🟩🟩🟩,,37371.0,,🟩🟩🟩,,🟩🟩🟩,
2025-05-22,721,2,,,,34330.0,,🟩⬛️⬛️,,⬛️⬛️⬛️,,37371.0,,🟩⬛️⬛️,,⬛️⬛️⬛️,
2025-05-22,721,3,,,,34330.0,,🟩🟨⬛️,,🟩🟨⬛,,37371.0,,🟩🟩🟨,,🟩⬛⬛,
2025-05-22,721,4,,,,34330.0,,🟩🟨⬛️,,⬛️⬛️⬛️,,37371.0,,🟩🟩🟨,,🟩🟨⬛,
2025-05-22,721,5,,,,34330.0,,🟩🟨⬛️,,🟩🟨⬛,,37371.0,,🟩🟩🟨,,🟩⬛⬛,
2025-05-23,722,1,,,,44407.0,,🟩🟩🟨,,🟩🟩🟩,,42506.0,,🟩🟩⬛️,,🟩🟩🟨,
2025-05-23,722,2,,,,44407.0,,🟩🟩⬛️,,🟩🟩🟩,,42506.0,,🟩🟩🟨,,🟩🟩🟩,
2025-05-23,722,3,,,,44407.0,,🟩🟩🟨,,🟩⬛⬛,,42506.0,,🟩🟩🟨,,🟩🟨⬛,
2025-05-23,722,4,,,,44407.0,,🟩🟩🟨,,🟩🟩🟨,,42506.0,,🟩🟩🟨,,🟩🟨⬛,
2025-05-23,722,5,,,,44407.0,,🟩⬛️⬛️,,🟩🟩⬛,,42506.0,,🟩⬛️⬛️,,🟩⬛⬛,
2025-05-27,726,1,,,,33463.0,,🟩🟩🟨,,🟩🟩🟩,,32549.0,,🟩🟩🟨,,🟩🟩🟩,
